Regio's;Bevolking
Aa en Hunze;25445
Aalburg;13153
Aalsmeer;31859
Aalten;27121
Ter Aar;0
Abcoude;0
Achtkarspelen;27843
Alblasserdam;20165
Albrandswaard;25590
Alkemade;0
Alkmaar;109436
Almelo;73107
Almere;211893
Alphen aan den Rijn;111897
Alphen-Chaam;10203
Altena;55967
Ambt Montfort;0
Ameland;3716
Amerongen;0
Amersfoort;157276
Amstelveen;91675
Amsterdam;872757
Andijk;0
Angerlo;0
Anna Paulowna;0
Apeldoorn;163818
Appingedam;11642
Arcen en Velden;0
Arnhem;161348
Assen;68599
Asten;16721
Axel;0
Baarle-Nassau;6859
Baarn;24868
Barendrecht;48714
Barneveld;59082
Bathmen;0
Bedum;10475
Beek (L.);15865
Beekdaelen;35938
Beemster;10022
Beesel;13482
Bellingwedde;0
Bemmel;0
Bennebroek;0
Berg en Dal;34992
Bergambacht;0
Bergeijk;18635
Bergen (L.);13085
Bergen (NH.);29839
Bergen op Zoom;67496
Bergh;0
Bergschenhoek;0
Berkel en Rodenrijs;0
Berkelland;43747
Bernheze;31240
Bernisse;0
Best;29988
Beuningen;25890
Beverwijk;41626
het Bildt;0
De Bilt;43137
Binnenmaas;29098
Bladel;20390
Blaricum;11540
Bleiswijk;0
Bloemendaal;23571
Boarnsterhim;0
Bodegraven;0
Bodegraven-Reeuwijk;34872
Boekel;10785
Ten Boer;7292
Bolsward;0
Borculo;0
Borger-Odoorn;25559
Borne;23312
Borsele;22739
Boskoop;0
Boxmeer;29365
Boxtel;30801
Breda;184069
Breukelen;0
Brielle;17271
Bronckhorst;36055
Brummen;20726
Brunssum;27821
Bunnik;15191
Bunschoten;21866
Buren;26749
Bussum;0
Capelle aan den IJssel;67122
Castricum;35986
Coevorden;35297
Cranendonck;21138
Cromstrijen;12826
Cuijk;25130
Culemborg;28955
Dalfsen;28587
Dantumadeel;0
Dantumadiel;18922
Delft;103595
Delfzijl;24678
Denekamp;0
Deurne;32471
Deventer;100719
Didam;0
Diemen;30780
Dinkelland;26461
Dinxperlo;0
Dirksland;0
Doesburg;11077
Doetinchem;58001
Dongen;26222
Dongeradeel;23789
Doorn;0
Dordrecht;119284
Drechterland;19719
Driebergen-Rijsenburg;0
Drimmelen;27272
Dronten;41555
Druten;18926
Duiven;25126
Echt;0
Echt-Susteren;31610
Edam-Volendam;36197
Ede;117165
Eemnes;9247
Eemsdelta;0
Eemsmond;15553
Eersel;19313
Eibergen;0
Eijsden;0
Eijsden-Margraten;25768
Eindhoven;234394
Elburg;23161
Emmen;107048
Enkhuizen;18591
Enschede;159640
Epe;33178
Ermelo;27008
Etten-Leur;43878
Ferwerderadiel;8671
Franekeradeel;0
De Friese Meren;0
De Fryske Marren;51564
Gaasterlân-Sleat;0
Geertruidenberg;21544
Geldermalsen;26818
Geldrop;0
Geldrop-Mierlo;39726
Gemert-Bakel;30723
Gendringen;0
Gennep;16921
Giessenlanden;14551
Gilze en Rijen;26431
Goedereede;0
Goeree-Overflakkee;50049
Goes;38082
Goirle;23904
Gooise Meren;58055
Gorinchem;37022
Gorssel;0
Gouda;73427
Graafstroom;0
Graft-De Rijp;0
Grave;12436
's-Gravendeel;0
's-Gravenhage (gemeente);545838
's-Gravenzande;0
Groenlo;0
Groesbeek;0
Groningen (gemeente);232874
Grootegast;12143
Gulpen-Wittem;14171
Haaksbergen;24311
Haaren;14370
Haarlem;162902
Haarlemmerliede en Spaarnwoude;5867
Haarlemmermeer;156002
Haelen;0
Halderberge;30284
Hardenberg;60948
Harderwijk;48414
Hardinxveld-Giessendam;18295
Haren;19860
Harenkarspel;0
Harlingen;15722
Hattem;12209
Heel;0
Heemskerk;39182
Heemstede;27234
Heerde;18589
Heerenveen;50493
Heerhugowaard;57587
Heerjansdam;0
Heerlen;87086
Heeze-Leende;16152
Heiloo;23968
Helden;0
Den Helder;56296
Hellendoorn;35916
Hellevoetsluis;40142
Helmond;92423
Hendrik-Ido-Ambacht;31202
Hengelo (Gld.);0
Hengelo (O.);81140
's-Hertogenbosch;155111
Heumen;16454
Heusden;44692
Heythuysen;0
Hillegom;22209
Hilvarenbeek;15518
Hilversum;90831
Hoeksche Waard;87401
Hof van Twente;35017
Het Hogeland;47801
Hollands Kroon;48432
Hontenisse;0
Hoogeveen;55699
Hoogezand-Sappemeer;0
Hoorn;73261
Horst aan de Maas;42429
Houten;50146
Huizen;41273
Hulst;27556
Hummelo en Keppel;0
Hunsel;0
IJsselstein;34109
Jacobswoude;0
Kaag en Braassem;27297
Kampen;54319
Kapelle;12695
Katwijk;65753
Kerkrade;45749
Kessel;0
Kesteren;0
Koggenland;22749
Kollumerland en Nieuwkruisland;12827
Korendijk;11097
Krimpen aan den IJssel;29526
Krimpenerwaard;56319
Laarbeek;22523
Landerd;15730
Landgraaf;37445
Landsmeer;11491
Langedijk;28163
Lansingerland;62384
Laren (NH.);11280
Leek;19669
Leerdam;21030
Leersum;0
Leeuwarden;124084
Leeuwarderadeel;0
Leiden;125099
Leiderdorp;27056
Leidschendam-Voorburg;76534
Lelystad;78598
Lemsterland;0
Leudal;35879
Leusden;30401
Lichtenvoorde;0
Liemeer;0
De Lier;0
Liesveld;0
Lingewaal;11134
Lingewaard;46601
Lisse;22955
Lith;0
Littenseradiel;0
Lochem;33729
Loenen;0
Loon op Zand;23408
Lopik;14467
Loppersum;9537
Losser;22683
Maarn;0
Maarssen;0
Maasbracht;0
Maasbree;0
Maasdonk;0
Maasdriel;25030
Maasgouw;23965
Maasland;0
Maassluis;33213
Maastricht;121575
Margraten;0
De Marne;10058
Marum;10488
Medemblik;45101
Meerlo-Wanssum;0
Meerssen;18828
Meierijstad;81194
Meijel;0
Menaldumadeel;0
Menameradiel;0
Menterwolde;0
Meppel;33920
Middelburg (Z.);48822
Middelharnis;0
Midden-Delfland;19341
Midden-Drenthe;33185
Midden-Groningen;60797
Mierlo;0
Mill en Sint Hubert;10939
Millingen aan de Rijn;0
Moerdijk;37129
Molenlanden;43909
Molenwaard;29295
Monster;0
Montferland;36011
Montfoort;13917
Mook en Middelaar;7847
Moordrecht;0
Muiden;0
Naaldwijk;0
Naarden;0
Neder-Betuwe;24339
Nederlek;0
Nederweert;17019
Neede;0
Neerijnen;12397
Niedorp;0
Nieuwegein;63462
Nieuwerkerk aan den IJssel;0
Nieuwkoop;28811
Nieuw-Lekkerland;0
Nijefurd;0
Nijkerk;43171
Nijmegen;177659
Nissewaard;85219
Noardeast-Fryslân;45228
Noord-Beveland;7392
Noordenveld;31253
Noorder-Koggenland;0
Noordoostpolder;47291
Noordwijk;43508
Noordwijkerhout;16605
Nuenen, Gerwen en Nederwetten;23383
Nunspeet;27851
Nuth;15201
Obdam;0
Oegstgeest;24840
Oirschot;18714
Oisterwijk;26245
Oldambt;38209
Oldebroek;23646
Oldenzaal;31836
Olst;0
Olst-Wijhe;18252
Ommen;18009
Onderbanken;7857
Oost Gelre;29627
Oostburg;0
Oosterhout;55982
Oostflakkee;0
Ooststellingwerf;25469
Oostzaan;9735
Opmeer;11836
Opsterland;29733
Oss;91915
Oud-Beijerland;24301
Oude IJsselstreek;39388
Ouder-Amstel;14026
Ouderkerk;0
Oudewater;10230
Overbetuwe;47906
Papendrecht;32136
Peel en Maas;43425
Pekela;12196
Pijnacker-Nootdorp;55308
Purmerend;81249
Putten;24112
Raalte;37712
Ravenstein;0
Reeuwijk;0
Reiderland;0
Reimerswaal;22730
Renkum;31419
Renswoude;5444
Reusel-De Mierden;13112
Rheden;43761
Rhenen;20119
Ridderkerk;46189
Rijnsburg;0
Rijnwaarden;0
Rijnwoude;0
Rijssen;0
Rijssen-Holten;38177
Rijswijk (ZH.);54450
Roerdalen;20574
Roermond;58260
Roggel en Neer;0
De Ronde Venen;44456
Roosendaal;77251
Rotterdam;651157
Rozenburg;0
Rozendaal;1704
Rucphen;22878
Ruurlo;0
Sas van Gent;0
Sassenheim;0
Schagen;46483
Scheemda;0
Schermer;0
Scherpenzeel;9880
Schiedam;78730
Schiermonnikoog;947
Schijndel;0
Schinnen;12911
Schipluiden;0
Schoonhoven;0
Schouwen-Duiveland;33839
Sevenum;0
Simpelveld;10555
Sint Anthonis;11664
Sint-Michielsgestel;29208
Sint-Oedenrode;0
Sittard-Geleen;92429
Skarsterlân;0
Sliedrecht;25220
Slochteren;0
Sluis;23210
Sluis-Aardenburg;0
Smallingerland;56150
Sneek;0
Soest;46606
Someren;19368
Son en Breugel;17322
Spijkenisse;0
Stadskanaal;31686
Staphorst;17145
Stede Broec;21726
Steenbergen;24416
Steenderen;0
Steenwijk;0
Steenwijkerland;44126
Stein (L.);25007
Stichtse Vecht;64931
Strijen;8793
Súdwest-Fryslân;89987
Susteren;0
Swalmen;0
Terneuzen;54426
Terschelling;4888
Texel;13575
Teylingen;37440
Tholen;25757
Thorn;0
Tiel;42159
Tilburg;219789
Tubbergen;21275
Twenterand;33743
Tynaarlo;33887
Tytsjerksteradiel;32052
Ubbergen;0
Uden;42119
Uitgeest;13666
Uithoorn;29478
Urk;21031
Utrecht (gemeente);357597
Utrechtse Heuvelrug;49580
Vaals;10105
Valkenburg (ZH.);0
Valkenburg aan de Geul;16367
Valkenswaard;31193
Veendam;27384
Veenendaal;66493
Veere;21880
Veghel;0
Veldhoven;45466
Velsen;68648
Venhuizen;0
Venlo;101802
Venray;43614
Vianen;19967
Vijfheerenlanden;56811
Vlaardingen;73397
Vlagtwedde;0
Vlieland;1155
Vlissingen;44360
Vlist;0
Voerendaal;12475
Voorhout;0
Voorschoten;25596
Voorst;24552
Vorden;0
Vriezenveen;0
Vught;26558
Waadhoeke;46090
Waalre;17456
Waalwijk;48637
Waddinxveen;29291
Wageningen;39664
Warmond;0
Warnsveld;0
Wassenaar;26305
Wateringen;0
Waterland;17424
Weert;50105
Weesp;19738
Wehl;0
Werkendam;26979
Wervershoof;0
West Betuwe;51128
West Maas en Waal;19324
Wester-Koggenland;0
Westerkwartier;63329
Westerveld;19460
Westervoort;14971
Westerwolde;25733
Westland;110375
Weststellingwerf;25914
Westvoorne;14731
Wierden;24446
Wieringen;0
Wieringermeer;0
Wijchen;41110
Wijdemeren;24358
Wijk bij Duurstede;23914
Winschoten;0
Winsum;13560
Winterswijk;28854
Wisch;0
Woensdrecht;21876
Woerden;52299
Wognum;0
De Wolden;24330
Wormerland;16270
Woudenberg;13362
Woudrichem;14634
Wûnseradiel;0
Wymbritseradiel;0
Zaanstad;156794
Zaltbommel;28881
Zandvoort;17116
Zederik;14004
Zeevang;0
Zeewolde;22653
Zeist;64905
Zelhem;0
Zevenaar;43750
Zevenhuizen-Moerkapelle;0
Zijpe;0
Zoetermeer;125285
Zoeterwoude;8605
Zuidhorn;18917
Zuidplas;43885
Zundert;21829
Zutphen;47934
Zwartewaterland;22685
Zwijndrecht;44737
Zwolle;128840
Bron: CBS;